_step,eval/downstream/hellaswag_len_norm,throughput/total_tokens,throughput/total_training_Gflops,optim/learning_rate_group0,learning_rate_peak,batch_size_in_tokens
1000,0.24845647811889648,1572864000.0,3117167809.65888,9.749999999999998e-05,0.00052,1572864
2000,0.26588329672813416,3145728000.0,6234335619.31776,0.00019499999999999997,0.00052,1572864
3000,0.28380799293518066,4718592000.0,9351503428.97664,0.0002925,0.00052,1572864
4000,0.3113921582698822,6291456000.0,12468671238.63552,0.00038999999999999994,0.00052,1572864
5000,0.3344951272010803,7864320000.0,15585839048.2944,0.0004874999999999999,0.00052,1572864
6000,0.3613821864128113,9437184000.0,18703006857.95328,0.0005199998581350749,0.00052,1572864
7000,0.3772156834602356,11010048000.0,21820174667.61216,0.0005199991133446883,0.00052,1572864
8000,0.39215296506881714,12582912000.0,24937342477.27104,0.0005199977301646384,0.00052,1572864
9000,0.40599483251571655,14155776000.0,28054510286.92992,0.0005199957085986987,0.00052,1572864
10000,0.4154551029205322,15728640000.0,31171678096.5888,0.0005199930486523843,0.00052,1572864
11000,0.4278032183647156,17301504000.0,34288845906.24768,0.0005199897503329519,0.00052,1572864
12000,0.4381597340106964,18874368000.0,37406013715.90656,0.0005199858136494001,0.00052,1572864
13000,0.44463253021240234,20447232000.0,40523181525.56544,0.0005199812386124686,0.00052,1572864
14000,0.4488149881362915,22020096000.0,43640349335.22432,0.000519976025234639,0.00052,1572864
15000,0.46176061034202576,23592960000.0,46757517144.8832,0.0005199701735301345,0.00052,1572864
16000,0.46703845262527466,25165824000.0,49874684954.54208,0.0005199636835149193,0.00052,1572864
17000,0.4648476541042328,26738688000.0,52991852764.20096,0.0005199565552066992,0.00052,1572864
18000,0.4788886606693268,28311552000.0,56109020573.85984,0.0005199487886249217,0.00052,1572864
19000,0.48117905855178833,29884416000.0,59226188383.51872,0.0005199403837907752,0.00052,1572864
20000,0.48506274819374084,31457280000.0,62343356193.1776,0.0005199313407271895,0.00052,1572864
21000,0.49173471331596375,33030144000.0,65460524002.83648,0.0005199216594588357,0.00052,1572864
22000,0.48894643783569336,34603008000.0,68577691812.49536,0.0005199113400121261,0.00052,1572864
23000,0.49502092599868774,36175872000.0,71694859622.15424,0.0005199003824152135,0.00052,1572864
24000,0.4958175718784332,37748736000.0,74812027431.81313,0.0005198887866979927,0.00052,1572864
25000,0.4988050162792206,39321600000.0,77929195241.472,0.0005198765528920983,0.00052,1572864
26000,0.5074686408042908,40894464000.0,81046363051.13087,0.0005198636810309063,0.00052,1572864
27000,0.511252760887146,42467328000.0,84163530860.78976,0.0005198501711495335,0.00052,1572864
28000,0.5108544230461121,44040192000.0,87280698670.44864,0.0005198360232848372,0.00052,1572864
29000,0.5188209414482117,45613056000.0,90397866480.10751,0.000519821237475415,0.00052,1572864
30000,0.5136427283287048,47185920000.0,93515034289.7664,0.0005198058137616053,0.00052,1572864
31000,0.5135431289672852,48758784000.0,96632202099.42528,0.0005197897521854865,0.00052,1572864
32000,0.5198167562484741,50331648000.0,99749369909.08417,0.0005197730527908774,0.00052,1572864
32547,0.519020140171051,51192004608.0,101454460700.96756,0.0005197636483744475,0.00052,1572864
33000,0.5205138325691223,51904512000.0,102866537718.74304,0.0005197557156233368,0.00052,1572864
34000,0.5239992141723633,53477376000.0,105983705528.40192,0.0005197377407301636,0.00052,1572864
35000,0.5279824733734131,55050240000.0,109100873338.0608,0.0005197191281603961,0.00052,1572864
36000,0.526787519454956,56623104000.0,112218041147.71968,0.0005196998779648127,0.00052,1572864
37000,0.526488721370697,58195968000.0,115335208957.37856,0.0005196799901959313,0.00052,1572864
38000,0.5312686562538147,59768832000.0,118452376767.03745,0.0005196594649080091,0.00052,1572864
