_step,eval/downstream/hellaswag_len_norm,throughput/total_tokens,throughput/total_training_Gflops,optim/learning_rate_group0,learning_rate_peak,batch_size_in_tokens
1000,0.25144392251968384,2097152000.0,4934747771.895808,0.0001,0.0004,2097152
2000,0.26249751448631287,4194304000.0,9869495543.791616,0.0002,0.0004,2097152
3000,0.2899820804595947,6291456000.0,14804243315.687424,0.0003,0.0004,2097152
4000,0.3152758479118347,8388608000.0,19738991087.583233,0.0004,0.0004,2097152
5000,0.3441545367240906,10485760000.0,24673738859.47904,0.00039999984320923643,0.0004,2097152
6000,0.3686516582965851,12582912000.0,29608486631.374847,0.00039999937283721873,0.0004,2097152
7000,0.3890659213066101,14680064000.0,34543234403.27065,0.00039999858888476635,0.0004,2097152
8000,0.40201154351234436,16777216000.0,39477982175.166466,0.0003999974913532451,0.0004,2097152
9000,0.4142601191997528,18874368000.0,44412729947.06227,0.00039999608024456697,0.0004,2097152
10000,0.42670783400535583,20971520000.0,49347477718.95808,0.00039999435556119033,0.0004,2097152
11000,0.4334793984889984,23068672000.0,54282225490.85389,0.00039999231730611975,0.0004,2097152
12000,0.4461262822151184,25165824000.0,59216973262.749695,0.00039998996548290603,0.0004,2097152
13000,0.4517028331756592,27262976000.0,64151721034.64551,0.00039998730009564644,0.0004,2097152
14000,0.4567815065383911,29360128000.0,69086468806.5413,0.00039998432114898445,0.0004,2097152
15000,0.465345561504364,31457280000.0,74021216578.43712,0.00039998102864810954,0.0004,2097152
16000,0.4735112488269806,33554432000.0,78955964350.33293,0.00039997742259875784,0.0004,2097152
17000,0.48097988963127136,35651584000.0,83890712122.22873,0.00039997350300721143,0.0004,2097152
18000,0.4887472689151764,37748736000.0,88825459894.12454,0.00039996926988029863,0.0004,2097152
19000,0.48984265327453613,39845888000.0,93760207666.02036,0.0003999647232253942,0.0004,2097152
20000,0.492033451795578,41943040000.0,98694955437.91615,0.00039995986305041897,0.0004,2097152
21000,0.4954192340373993,44040192000.0,103629703209.81197,0.00039995468936383983,0.0004,2097152
22000,0.5012945532798767,46137344000.0,108564450981.70778,0.00039994920217467,0.0004,2097152
23000,0.49770963191986084,48234496000.0,113499198753.60358,0.00039994340149246876,0.0004,2097152
24000,0.5035849213600159,50331648000.0,118433946525.49939,0.00039993728732734166,0.0004,2097152
25000,0.5105556845664978,52428800000.0,123368694297.3952,0.0003999308596899404,0.0004,2097152
26000,0.5118502378463745,54525952000.0,128303442069.29102,0.0003999241185914625,0.0004,2097152
27000,0.5176259875297546,56623104000.0,133238189841.18681,0.00039991706404365196,0.0004,2097152
28000,0.5198167562484741,58720256000.0,138172937613.0826,0.00039990969605879843,0.0004,2097152
29000,0.517128050327301,60817408000.0,143107685384.97842,0.000399902014649738,0.0004,2097152
30000,0.5230033993721008,62914560000.0,148042433156.87424,0.0003998940198298525,0.0004,2097152
31000,0.5256921052932739,65011712000.0,152977180928.77005,0.0003998857116130699,0.0004,2097152
32000,0.5249950289726257,67108864000.0,157911928700.66586,0.0003998770900138641,0.0004,2097152
33000,0.5247958302497864,69206016000.0,162846676472.56168,0.000399868155047255,0.0004,2097152
34000,0.5257917046546936,71303168000.0,167781424244.45746,0.0003998589067288083,0.0004,2097152
35000,0.5293766260147095,73400320000.0,172716172016.35327,0.0003998493450746358,0.0004,2097152
36000,0.5364469289779663,75497472000.0,177650919788.24908,0.00039983947010139486,0.0004,2097152
37000,0.526787519454956,77594624000.0,182585667560.1449,0.00039982928182628907,0.0004,2097152
38000,0.5333598852157593,79691776000.0,187520415332.0407,0.00039981878026706746,0.0004,2097152
39000,0.534654438495636,81788928000.0,192455163103.93652,0.00039980796544202506,0.0004,2097152
40000,0.5392352342605591,83886080000.0,197389910875.8323,0.00039979683737000255,0.0004,2097152
41000,0.5420234799385071,85983232000.0,202324658647.72812,0.0003997853960703865,0.0004,2097152
42000,0.5422226786613464,88080384000.0,207259406419.62393,0.00039977364156310887,0.0004,2097152
43000,0.5403305888175964,90177536000.0,212194154191.51974,0.00039976157386864753,0.0004,2097152
44000,0.5398327112197876,92274688000.0,217128901963.41556,0.0003997491930080257,0.0004,2097152
45000,0.5485959053039551,94371840000.0,222063649735.31137,0.00039973649900281247,0.0004,2097152
46000,0.5466042757034302,96468992000.0,226998397507.20715,0.0003997234918751223,0.0004,2097152
47000,0.5509858727455139,98566144000.0,231933145279.10297,0.000399710171647615,0.0004,2097152
48000,0.5465046763420105,100663296000.0,236867893050.99878,0.0003996965383434963,0.0004,2097152
49000,0.5469030141830444,102760448000.0,241802640822.8946,0.0003996825919865167,0.0004,2097152
50000,0.547102153301239,104857600000.0,246737388594.7904,0.0003996683326009727,0.0004,2097152
51000,0.5467038154602051,106954752000.0,251672136366.68622,0.00039965376021170563,0.0004,2097152
52000,0.55058753490448,109051904000.0,256606884138.58203,0.0003996388748441025,0.0004,2097152
53000,0.5541724562644958,111149056000.0,261541631910.4778,0.00039962367652409536,0.0004,2097152
54000,0.5497908592224121,113246208000.0,266476379682.37363,0.00039960816527816146,0.0004,2097152
55000,0.5574586987495422,115343360000.0,271411127454.26944,0.00039959234113332335,0.0004,2097152
56000,0.5522804260253906,117440512000.0,276345875226.1652,0.00039957620411714843,0.0004,2097152
57000,0.5545707941055298,119537664000.0,281280622998.06104,0.00039955975425774937,0.0004,2097152
58000,0.5570603609085083,121634816000.0,286215370769.95685,0.0003995429915837839,0.0004,2097152
59000,0.5597490668296814,123731968000.0,291150118541.85266,0.0003995259161244545,0.0004,2097152
60000,0.5547699928283691,125829120000.0,296084866313.7485,0.00039950852790950856,0.0004,2097152
61000,0.5559649467468262,127926272000.0,301019614085.6443,0.00039949082696923865,0.0004,2097152
62000,0.5591515898704529,130023424000.0,305954361857.5401,0.0003994728133344818,0.0004,2097152
