lang	MIT	Apache-2.0	BSD-Source-Code	Info-ZIP	Unlicense	CC0-1.0	CC-BY-3.0	BSD-2-Clause	Adobe-2006	BSD-3-Clause	WTFPL	BSD-2-Clause-FreeBSD	curl	ECL-2.0	MIT-0	RSA-MD	IJG	BSD-4-Clause	BSD-3-Clause-LBNL	SWL	Net-SNMP	Xnet	AAL	ISC	FSFAP	Zlib	CC-BY-4.0	BSL-1.0	AFL-3.0	Naumen	Condor-1.1	MS-PL	AML	Artistic-2.0	CC-BY-2.0	BSD-1-Clause	0BSD	Apache-1.1	X11	Beerware	Intel	Adobe-Glyph	CNRI-Python	blessing	Artistic-1.0-cl8	BSD-3-Clause-Clear	BSD-3-Clause-No-Nuclear-License-2014	bzip2-1.0.6	Vim	BSD-4-Clause-UC	XFree86-1.1	PHP-3.0	PHP-3.01	PostgreSQL	FTL	Ruby	Linux-OpenIB	OpenSSL	TCL	NASA-1.3	CNRI-Python-GPL-Compatible	DOC	PSF-2.0	Xerox	Zed	CECILL-B	TCP-wrappers	UPL-1.0	IBM-pibs	BSD-3-Clause-Open-MPI	ANTLR-PD	Cube	MulanPSL-1.0	NCSA	BlueOak-1.0.0	AFL-2.1	BSD-3-Clause-Attribution	Zend-2.0	Artistic-1.0	OML	OLDAP-2.3	ADSL	ClArtistic	MIT-CMU	AFL-1.1	bzip2-1.0.5	OLDAP-2.4	OLDAP-2.7	BSD-2-Clause-Patent	OLDAP-2.2.1	W3C	MTLL	Fair	BSD-3-Clause-No-Nuclear-License	MITNFA	NTP	LPL-1.02	OLDAP-2.6	libpng-2.0	OLDAP-2.5	HPND	Python-2.0	Libpng	ECL-1.0	NetCDF	ICU	OLDAP-2.8	LPPL-1.3c	Artistic-1.0-Perl	NBPL-1.0	BSD-3-Clause-No-Nuclear-Warranty	ZPL-1.1	ImageMagick	zlib-acknowledgement	BSD-2-Clause-NetBSD	ZPL-2.1	Plexus	Spencer-94	Spencer-86	Spencer-99	AFL-2.0	NRL	OLDAP-2.0	libtiff	mpich2	CC-BY-1.0	OLDAP-1.1	NLPL	MIT-feh	EFL-2.0	AMDPLPA	OGTSL	APAFML	W3C-19980720	CNRI-Jython	JasPer-2.0	Qhull	W3C-20150513	Saxpath	xpp	EFL-1.0	Giftware	Barr	AFL-1.2	eGenix	VSL-1.0	Mup	Apache-1.0	MIT-advertising	ZPL-2.0	OLDAP-2.2	OLDAP-2.2.2	SGI-B-2.0	Font-exception-2.0	FSFULLR	FSFUL	MIT-enna	Unicode-DFS-2016	Unicode-DFS-2015	xinetd	TU-Berlin-1.0	Leptonica	Multics	AMPAS	OLDAP-1.2	MirOS	TU-Berlin-2.0	Newsletr	diffmark	OLDAP-2.0.1	LPL-1.0	psutils	Entessa
abap	12316506.0	4647928.0	324504.0	20199.0	1086926.0	25262.0	9749.0	24965.0	7069.0	15015.0	1037.0																																																																																																																																																																		
actionscript	70105584.0	43708199.0	38247.0	19293.0	5827587.0	3343440.0	293335.0	1209556.0	30793.0	4742264.0	235686.0	4873036.0	741935.0	6650108.0	767333.0	919262.0	107649.0	169799.0	63595.0	56624.0	433243.0	433348.0	53988.0	41921.0	175243.0	106605.0	742116.0	95016.0	46215.0	51604.0	52666.0	54270.0	57920.0	58231.0	115934.0	46100.0	10291.0	144315.0	105.0	5511.0	22139.0	4039.0	13609.0	181.0	1520.0	15499.0	74.0	202.0	149.0	14164.0	13100.0	589.0	589.0	8110.0	170.0	170.0																																																																																																																					
ada	51247675.0	26153533.0		237996.0	2525436.0	234399.0		435458.0		36000628.0	353426.0	7815.0		26980.0	34641.0	1726124.0		45559.0			37.0			667753.0	3617830.0	623439.0	774144.0	13378.0						79469.0			2844236.0		125908.0				39252.0	77208.0				60.0		1362.0					224223.0		1190692.0	332840.0	422361.0	179237.0	112050.0	50471.0	16218.0	1825.0	138.0	2078.0	37.0																																																																																																										
agda	19921104.0	551160.0	413.0	1390.0	505452.0	249490.0	4366.0	950034.0		2288783.0	5082.0				732.0	471187.0											656623.0							2277.0			138615.0		365158.0																													385005.0																																																																																																									
ags-script	1231990.0	17149.0			927696.0	46267.0		8439.0		29957.0															3256.0	82.0	168473.0							2028.0																																																																																																																																											
alloy	2800977.0	450652.0			18466.0	6402.0	5388.0	63877.0		71248.0											2185.0	2185.0					284318.0							7437.0																		137.0																																																																																																																									
ampl	15431.0	3412.0		232.0						549.0																																																											9.0																																																																																																								
antlr	5648267.0	5402045.0	3598.0		110345.0	42302.0	388757.0	259707.0		1335900.0	6230.0	5819.0		177694.0	70842.0	3620.0		41099.0	2239.0			874.0		3305.0	485.0	23410.0	17677.0	26433.0		598.0	598.0	2855.0		718.0			26783.0	7284.0	874.0		2543.0					64268.0	66530.0							94375.0	108.0	21191.0		16747.0		8229.0			62189.0			643.0		70417.0		38779.0	6610.0	427.0	1767.0	1424.0																																																																																																			
apacheconf	29501.0	15446.0	190.0		514.0	219.0	51.0	164.0		2233.0																												146.0																														24.0																																																																																																									
api-blueprint	3642715.0	2229929.0			38283.0	39390.0	277094.0	9364.0		236176.0	2519.0				18892.0		246.0	10391.0						3259.0	42199.0		13031.0	134998.0				450.0		1999.0			1149.0									9826.0						246.0	246.0	56808.0														1690.0							111100.0	3301.0	246.0	246.0																																																																																															
apl	1635406.0	38154.0		7040.0	12292.0		3304.0	48079.0		47192.0	123.0			126.0		5.0																		9610.0			300327.0			49.0																		12775.0				1.0																	57.0																																																																																														
