lang	total_tokens
abap	18330712
actionscript	135958996
ada	128783457
agda	26437966
ags-script	2435337
alloy	3669563
ampl	19633
antlr	12980072
apacheconf	48186
api-blueprint	6659162
apl	2114414
applescript	2159284
arc	4471257
arduino	197174865
asciidoc	282087895
asp	120894142
aspectj	1470367
assembly	417915158
ats	4467590
augeas	243182
autohotkey	21553613
autoit	27607804
awk	7435921
batchfile	86968433
befunge	1275
bison	753431
bitbake	22757132
blitzbasic	2604517
blitzmax	2704250
bluespec	9261334
boo	1567453
brainfuck	13567229
brightscript	2731001
bro	752427
c	17137401119
c++	14933059066
c-sharp	9471002759
c2hs-haskell	2576085
cap'n-proto	740782
cartocss	5520476
ceylon	3409964
chapel	8896820
chuck	963866
cirru	15331264
clarion	2078561
clean	1016942
click	374713
clips	2959635
clojure	143461603
cmake	142545341
cobol	3752727
coffeescript	191867262
coldfusion	18716378
coldfusion-cfc	17872115
common-lisp	596611033
component-pascal	23733107
coq	73630
creole	320650
crystal	61416095
csound	10434600
css	9381879554
csv	43593235641
cucumber	49298755
cuda	172624224
cycript	2431451
cython	78587020
d	623477
darcs-patch	731560
dart	890935112
desktop	2300594
diff	637838179
digital-command-language	17512867
dm	7731429
dns-zone	4950118
dockerfile	134396064
dogescript	28222
dylan	10826350
eagle	1868374244
ec	5493680
ecere-projects	249871
ecl	6475558
edn	443924587
eiffel	23287068
elixir	206503821
elm	61143588
emacs-lisp	154438013
emberscript	5785595
erlang	256279706
f-sharp	195380577
factor	9010253
fancy	323009
fantom	3252421
fish	9755496
flux	2012491
forth	4980802
fortran	554357419
freemarker	78215119
g-code	137876841
gams	14886328
gap	3651040
gas	320402727
gdscript	56726808
genshi	3008074
gentoo-ebuild	14087136
gentoo-eclass	770523
gettext-catalog	2374613291
glsl	163322990
glyph	190610
gnuplot	207406471
go	7124260661
golo	162545
gosu	1292932
grace	238612
grammatical-framework	9917586
graphql	31199092
graphviz-(dot)	285953160
groff	905559659
groovy	206504687
groovy-server-pages	22390822
haml	37235160
handlebars	162269115
harbour	399751
haskell	593768612
haxe	127001863
hcl	155945918
hlsl	20224504
html	84780049097
html+django	37815531
html+eex	7055127
html+erb	280630127
html+php	112497916
http	16227958
hy	1923792
idl	4030904
idris	8490971
igor-pro	2869382
inform-7	3625044
ini	760040215
inno-setup	4669469
io	2400845
ioke	603494
irc-log	2042606
isabelle	28529507
j	5436171
jade	39526790
jasmin	8505517
java	19262971827
java-server-pages	363366839
javascript	45208495680
jflex	3364429
json	158655657534
json5	14002892
jsoniq	1672732
jsonld	58383925
jsx	619127735
julia	476488943
jupyter-notebook	24046059054
kicad	714678461
kit	1722490
kotlin	1035361174
krl	247663
labview	24194676
lasso	8858427
latte	3797931
lean	43968025
less	293006934
lex	25797005
lfe	632202
lilypond	10099293
linker-script	15715936
liquid	31195646
literate-agda	1749989
literate-coffeescript	1057708
literate-haskell	16611102
livescript	8384466
llvm	242279900
logos	69446224
logtalk	2952800
lolcode	328067
lookml	943644
lsl	3435039
lua	894098224
m	33971
m4	37828097
makefile	572546592
mako	9648159
maple	8430629
markdown	24483142408
mask	1576369
mathematica	535121356
matlab	10205699
max	148870810
maxscript	1112679
mediawiki	35011529
metal	3736940
mirah	26025058
modelica	33455980
module-management-system	566664
monkey	1599106
moonscript	3782963
mtml	416455
muf	370277
mupad	1661801
myghty	17385
nesc	25560811
netlinx	480266
netlogo	9332437
nginx	4842
nimrod	109114949
ninja	28095785
nit	59060
nix	133199814
nsis	6684170
nu	553959
numpy	3297
objdump	11167816
objective-c++	133448318
objective-j	2550460
ocaml	276670249
octave	868613
omgrofl	461
ooc	1108485
opa	940606
opal	93090
opencl	54572506
openscad	30744560
org	94178737
ox	447894
oxygene	52578
oz	954719
pan	14978011
papyrus	8417414
parrot	15683
parrot-assembly	112612
parrot-internal-representation	5920841
pascal	285821112
pawn	13478903
perl	840386391
perl6	13731085
php	22792803101
piglatin	593138
pike	1013670
pod	31840898
pogoscript	105297
pony	4608438
postscript	305110118
pov-ray-sdl	5340934
powershell	305082070
processing	45531415
prolog	3596843
propeller-spin	5020358
protocol-buffer	107166274
pure-data	32783368
purebasic	16223585
purescript	26718181
python	16043293173
python-traceback	8415
qmake	4861296
qml	38428130
r	66697726
racket	11002168
ragel-in-ruby-host	2728675
raml	7888665
rdoc	7007881
realbasic	1798621
rebol	1744380
red	11547046
redcode	803607
ren'py	24961038
renderscript	589560
restructuredtext	1147011085
rhtml	2786889
rmarkdown	15787204
robotframework	13500154
rouge	1126840
ruby	1959354737
rust	2911996551
sage	4204455
saltstack	9878528
sas	26598369
sass	46409574
scala	1182816366
scaml	27140
scheme	155049345
scilab	3297303
scss	1357032277
self	110024
shell	1108648029
shellsession	3965
shen	334547
slash	10088617
slim	12648632
smali	799560382
smalltalk	162111048
smarty	152506764
smt	132274883
solidity	295121614
sourcepawn	36722917
sparql	9055055
sqf	33471746
sql	3754512295
squirrel	8337537
stan	3820535
standard-ml	87939880
stata	103826191
ston	288362
stylus	36983697
supercollider	4922427
svg	17468302469
swift	1250394870
systemverilog	96944491
tcl	112888851
tcsh	7892782
tea	10099323
tex	1575639702
text	48052832711
textile	8555523
thrift	3620196
toml	173316868
turing	600644
turtle	691518946
twig	324199107
txl	558614
typescript	7571467714
unified-parallel-c	350366
unity3d-asset	1586440063
uno	2065912
unrealscript	14052988
urweb	1795646
vala	4824855
vcl	1339531
verilog	185105
vhdl	267960016
viml	103887318
visual-basic	271219567
volt	3819443
vue	1980448290
